Naam categorie;stoornisnaam;stoorniscode;stoornisvragen;;;;;;;;;;;;;;;;;;;;;;
Categorie infectueuze en parasitaire aandoeningen;Tuberculose, long-;A15;"Stoornis A15 - Tuberculose, long- wijzigen
Diagnosestelling
Datum diagnosestelling *

open datum diagnosestelling datepicker
Verplicht in te vullen
Voeg de disciplines en namen toe van de personen die de diagnose gesteld hebben.

Duid minimaal de volgende discipline(s) aan:

Een arts

Discipline toevoegen
Discipline        Naam        Acties
Geen disciplines gevonden
Aantal items per pagina
10
1 - 0 van 0
Als de diagnose niet door de correcte discipline is gesteld, motiveer waarom


Diagnostische gegevens en/of andere onderzoeksgegevens
Longfunctieonderzoek (minimaal twee onderzoeken zijn verplicht).


Onderzoek toevoegen
Tijdstip        Naam arts        FEV1-waarde (ESW)        FVC-waarde        Tiffeneau-index (FEV1/FVC)        Diffusiecapaciteit        Acties
Geen onderzoeken gevonden
Aantal items per pagina
10
1 - 0 van 0
Beschrijf de kortademigheid op basis van de MRC-schaal, 6 minuten wandeltest of andere onderzoeken *


Is de persoon zuurstofafhankelijk? *

Ja

Nee
Beperkingen & participatieproblemen
Wat zijn de beperkingen en participatieproblemen ten gevolge van deze stoornis? *


Behandelingen
Rookt de persoon? *

Ja

Nee
Beschrijf welke behandelingen er al zijn geweest of die nog lopende zijn


Behandeling toevoegen
Behandeling        Datum/Periode (& frequentie)        Omschrijving        Acties
Geen onderzoeken gevonden
Aantal items per pagina
10
1 - 0 van 0
Beschrijf welke behandelingen niet mogelijk zijn en waarom


Beschrijf welke behandelingen er worden verwacht


Prognose
Beschrijf de prognose van de aandoening *


Extra informatie
Gaat het bij deze stoornis over een niet-aangeboren hersenletsel? *
Extra informatie
";;;;;;;;;;;;;;;;;;;;;;
Categorie infectueuze en parasitaire aandoeningen;Tuberculose, miliaire;A19 ;"Stoornis A19 - Tuberculose, miliaire wijzigen
Diagnosestelling
Datum diagnosestelling *

open datum diagnosestelling datepicker
Verplicht in te vullen
Voeg de disciplines en namen toe van de personen die de diagnose gesteld hebben.

Duid minimaal de volgende discipline(s) aan:

Een arts

Discipline toevoegen
Discipline	Naam	Acties
Geen disciplines gevonden
Aantal items per pagina
10
1 - 0 van 0
Als de diagnose niet door de correcte discipline is gesteld, motiveer waarom


Diagnostische gegevens en/of andere onderzoeksgegevens
Longfunctieonderzoek (minimaal twee onderzoeken zijn verplicht).


Onderzoek toevoegen
Tijdstip	Naam arts	FEV1-waarde (ESW)	FVC-waarde	Tiffeneau-index (FEV1/FVC)	Diffusiecapaciteit	Acties
Geen onderzoeken gevonden
Aantal items per pagina
10
1 - 0 van 0
Beschrijf de kortademigheid op basis van de MRC-schaal, 6 minuten wandeltest of andere onderzoeken *


Is de persoon zuurstofafhankelijk? *

Ja

Nee
Beperkingen & participatieproblemen
Wat zijn de beperkingen en participatieproblemen ten gevolge van deze stoornis? *


Behandelingen
Rookt de persoon? *

Ja

Nee
Beschrijf welke behandelingen er al zijn geweest of die nog lopende zijn


Behandeling toevoegen
Behandeling	Datum/Periode (& frequentie)	Omschrijving	Acties
Geen onderzoeken gevonden
Aantal items per pagina
10
1 - 0 van 0
Beschrijf welke behandelingen niet mogelijk zijn en waarom


Beschrijf welke behandelingen er worden verwacht


Prognose
Beschrijf de prognose van de aandoening *


Extra informatie
Gaat het bij deze stoornis over een niet-aangeboren hersenletsel? *
Extra informatie
";;;;;;;;;;;;;;;;;;;;;;
Categorie infectueuze en parasitaire aandoeningen;Brucellose;A23;"Stoornis A23 - Brucellose wijzigen
Voor meer informatie en richtlijnen bij het invullen van deze stoornispagina kan u terecht op onze website(website opent in een nieuw tabblad).

Diagnosestelling
Datum diagnosestelling *

open datum diagnosestelling datepicker
Voeg de disciplines en namen toe van de personen die de diagnose gesteld hebben.


Discipline toevoegen
Discipline	Naam	Acties
Geen disciplines gevonden
Aantal items per pagina
10
1 - 0 van 0
Indien van toepassing: Waarom werd de diagnose niet multidisciplinair vastgesteld?


Diagnostische gegevens en/of andere onderzoeksgegevens
Beschrijf de aandoening en de etiologie ervan *


Beschrijf de onderzoeken die plaatsgevonden hebben, met vermelding van de datum of periode van het onderzoek en hun resultaten


Onderzoek toevoegen
Datum of periode van het onderzoek	Naam	Discipline	Type onderzoek	Resultaat onderzoek	Acties
Geen onderzoeken gevonden
Aantal items per pagina
10
1 - 0 van 0
Beperkingen & participatieproblemen
Wat zijn de beperkingen en participatieproblemen ten gevolge van deze stoornis? *


Behandelingen
Beschrijf welke behandelingen al geweest of nog lopende zijn. Geef telkens de concrete datum/periode weer *


Beschrijf welke behandelingen niet mogelijk waren en waarom


Beschrijf welke behandelingen er al dan niet worden verwacht


Prognose
Beschrijf de prognose van de aandoening *


Extra informatie
Gaat het bij deze stoornis over een niet-aangeboren hersenletsel? *
Extra informatie
";;;;;;;;;;;;;;;;;;;;;;
Categorie infectueuze en parasitaire aandoeningen;Leptospirose;A27 ;"Stoornis A27 - Leptospirose wijzigen
Voor meer informatie en richtlijnen bij het invullen van deze stoornispagina kan u terecht op onze website(website opent in een nieuw tabblad).

Diagnosestelling
Datum diagnosestelling *

open datum diagnosestelling datepicker
Voeg de disciplines en namen toe van de personen die de diagnose gesteld hebben.


Discipline toevoegen
Discipline	Naam	Acties
Geen disciplines gevonden
Aantal items per pagina
10
1 - 0 van 0
Indien van toepassing: Waarom werd de diagnose niet multidisciplinair vastgesteld?


Diagnostische gegevens en/of andere onderzoeksgegevens
Beschrijf de aandoening en de etiologie ervan *


Beschrijf de onderzoeken die plaatsgevonden hebben, met vermelding van de datum of periode van het onderzoek en hun resultaten


Onderzoek toevoegen
Datum of periode van het onderzoek	Naam	Discipline	Type onderzoek	Resultaat onderzoek	Acties
Geen onderzoeken gevonden
Aantal items per pagina
10
1 - 0 van 0
Beperkingen & participatieproblemen
Wat zijn de beperkingen en participatieproblemen ten gevolge van deze stoornis? *


Behandelingen
Beschrijf welke behandelingen al geweest of nog lopende zijn. Geef telkens de concrete datum/periode weer *


Beschrijf welke behandelingen niet mogelijk waren en waarom


Beschrijf welke behandelingen er al dan niet worden verwacht


Prognose
Beschrijf de prognose van de aandoening *


Extra informatie
Gaat het bij deze stoornis over een niet-aangeboren hersenletsel? *
Extra informatie
";;;;;;;;;;;;;;;;;;;;;;
Categorie infectueuze en parasitaire aandoeningen;Tetanus;A35 ;"Stoornis A35 - Tetanus wijzigen
Voor meer informatie en richtlijnen bij het invullen van deze stoornispagina kan u terecht op onze website(website opent in een nieuw tabblad).

Diagnosestelling
Datum diagnosestelling *

open datum diagnosestelling datepicker
Voeg de disciplines en namen toe van de personen die de diagnose gesteld hebben.


Discipline toevoegen
Discipline	Naam	Acties
Geen disciplines gevonden
Aantal items per pagina
10
1 - 0 van 0
Indien van toepassing: Waarom werd de diagnose niet multidisciplinair vastgesteld?


Diagnostische gegevens en/of andere onderzoeksgegevens
Beschrijf de aandoening en de etiologie ervan *


Beschrijf de onderzoeken die plaatsgevonden hebben, met vermelding van de datum of periode van het onderzoek en hun resultaten


Onderzoek toevoegen
Datum of periode van het onderzoek	Naam	Discipline	Type onderzoek	Resultaat onderzoek	Acties
Geen onderzoeken gevonden
Aantal items per pagina
10
1 - 0 van 0
Beperkingen & participatieproblemen
Wat zijn de beperkingen en participatieproblemen ten gevolge van deze stoornis? *


Behandelingen
Beschrijf welke behandelingen al geweest of nog lopende zijn. Geef telkens de concrete datum/periode weer *


Beschrijf welke behandelingen niet mogelijk waren en waarom


Beschrijf welke behandelingen er al dan niet worden verwacht


Prognose
Beschrijf de prognose van de aandoening *


Extra informatie
Gaat het bij deze stoornis over een niet-aangeboren hersenletsel? *
Verplicht in te vullen
Extra informatie";;;;;;;;;;;;;;;;;;;;;;
Categorie infectueuze en parasitaire aandoeningen;Waterhouse-Friderichsen, syndroom van -;A391 ;"Stoornis A391 - Waterhouse-Friderichsen, syndroom van - wijzigen
Voor meer informatie en richtlijnen bij het invullen van deze stoornispagina kan u terecht op onze website(website opent in een nieuw tabblad).

Diagnosestelling
Datum diagnosestelling *

open datum diagnosestelling datepicker
Voeg de disciplines en namen toe van de personen die de diagnose gesteld hebben.


Discipline toevoegen
Discipline	Naam	Acties
Geen disciplines gevonden
Aantal items per pagina
10
1 - 0 van 0
Indien van toepassing: Waarom werd de diagnose niet multidisciplinair vastgesteld?


Diagnostische gegevens en/of andere onderzoeksgegevens
Beschrijf de aandoening en de etiologie ervan *


Beschrijf de onderzoeken die plaatsgevonden hebben, met vermelding van de datum of periode van het onderzoek en hun resultaten


Onderzoek toevoegen
Datum of periode van het onderzoek	Naam	Discipline	Type onderzoek	Resultaat onderzoek	Acties
Geen onderzoeken gevonden
Aantal items per pagina
10
1 - 0 van 0
Beperkingen & participatieproblemen
Wat zijn de beperkingen en participatieproblemen ten gevolge van deze stoornis? *


Behandelingen
Beschrijf welke behandelingen al geweest of nog lopende zijn. Geef telkens de concrete datum/periode weer *


Beschrijf welke behandelingen niet mogelijk waren en waarom


Beschrijf welke behandelingen er al dan niet worden verwacht


Prognose
Beschrijf de prognose van de aandoening *


Extra informatie
Gaat het bij deze stoornis over een niet-aangeboren hersenletsel? *
Extra informatie
";;;;;;;;;;;;;;;;;;;;;;
Categorie infectueuze en parasitaire aandoeningen;Gangreen (gas-);A480 ;"Stoornis A480 - Gangreen (gas-) wijzigen
Voor meer informatie en richtlijnen bij het invullen van deze stoornispagina kan u terecht op onze website(website opent in een nieuw tabblad).

Diagnosestelling
Datum diagnosestelling *

open datum diagnosestelling datepicker
Voeg de disciplines en namen toe van de personen die de diagnose gesteld hebben.


Discipline toevoegen
Discipline	Naam	Acties
Geen disciplines gevonden
Aantal items per pagina
10
1 - 0 van 0
Indien van toepassing: Waarom werd de diagnose niet multidisciplinair vastgesteld?


Diagnostische gegevens en/of andere onderzoeksgegevens
Beschrijf de aandoening en de etiologie ervan *


Beschrijf de onderzoeken die plaatsgevonden hebben, met vermelding van de datum of periode van het onderzoek en hun resultaten


Onderzoek toevoegen
Datum of periode van het onderzoek	Naam	Discipline	Type onderzoek	Resultaat onderzoek	Acties
Geen onderzoeken gevonden
Aantal items per pagina
10
1 - 0 van 0
Beperkingen & participatieproblemen
Wat zijn de beperkingen en participatieproblemen ten gevolge van deze stoornis? *


Behandelingen
Beschrijf welke behandelingen al geweest of nog lopende zijn. Geef telkens de concrete datum/periode weer *


Beschrijf welke behandelingen niet mogelijk waren en waarom


Beschrijf welke behandelingen er al dan niet worden verwacht


Prognose
Beschrijf de prognose van de aandoening *


Extra informatie
Gaat het bij deze stoornis over een niet-aangeboren hersenletsel? *
Extra informatie
";;;;;;;;;;;;;;;;;;;;;;
Categorie infectueuze en parasitaire aandoeningen;Syfilis, congenitale;A50 ;"Stoornis A50 - Syfilis, congenitale wijzigen
Voor meer informatie en richtlijnen bij het invullen van deze stoornispagina kan u terecht op onze website(website opent in een nieuw tabblad).

Diagnosestelling
Datum diagnosestelling *

open datum diagnosestelling datepicker
Voeg de disciplines en namen toe van de personen die de diagnose gesteld hebben.


Discipline toevoegen
Discipline	Naam	Acties
Geen disciplines gevonden
Aantal items per pagina
10
1 - 0 van 0
Indien van toepassing: Waarom werd de diagnose niet multidisciplinair vastgesteld?


Diagnostische gegevens en/of andere onderzoeksgegevens
Beschrijf de aandoening en de etiologie ervan *


Beschrijf de onderzoeken die plaatsgevonden hebben, met vermelding van de datum of periode van het onderzoek en hun resultaten


Onderzoek toevoegen
Datum of periode van het onderzoek	Naam	Discipline	Type onderzoek	Resultaat onderzoek	Acties
Geen onderzoeken gevonden
Aantal items per pagina
10
1 - 0 van 0
Beperkingen & participatieproblemen
Wat zijn de beperkingen en participatieproblemen ten gevolge van deze stoornis? *


Behandelingen
Beschrijf welke behandelingen al geweest of nog lopende zijn. Geef telkens de concrete datum/periode weer *


Beschrijf welke behandelingen niet mogelijk waren en waarom


Beschrijf welke behandelingen er al dan niet worden verwacht


Prognose
Beschrijf de prognose van de aandoening *


Extra informatie
Gaat het bij deze stoornis over een niet-aangeboren hersenletsel? *
Extra informatie
";;;;;;;;;;;;;;;;;;;;;;
Categorie infectueuze en parasitaire aandoeningen;Syfilis, secundaire en tertiaire;A52 ;"Stoornis A52 - Syfilis, secundaire en tertiaire wijzigen
Voor meer informatie en richtlijnen bij het invullen van deze stoornispagina kan u terecht op onze website(website opent in een nieuw tabblad).

Diagnosestelling
Datum diagnosestelling *

open datum diagnosestelling datepicker
Voeg de disciplines en namen toe van de personen die de diagnose gesteld hebben.


Discipline toevoegen
Discipline	Naam	Acties
Geen disciplines gevonden
Aantal items per pagina
10
1 - 0 van 0
Indien van toepassing: Waarom werd de diagnose niet multidisciplinair vastgesteld?


Diagnostische gegevens en/of andere onderzoeksgegevens
Beschrijf de aandoening en de etiologie ervan *


Beschrijf de onderzoeken die plaatsgevonden hebben, met vermelding van de datum of periode van het onderzoek en hun resultaten


Onderzoek toevoegen
Datum of periode van het onderzoek	Naam	Discipline	Type onderzoek	Resultaat onderzoek	Acties
Geen onderzoeken gevonden
Aantal items per pagina
10
1 - 0 van 0
Beperkingen & participatieproblemen
Wat zijn de beperkingen en participatieproblemen ten gevolge van deze stoornis? *


Behandelingen
Beschrijf welke behandelingen al geweest of nog lopende zijn. Geef telkens de concrete datum/periode weer *


Beschrijf welke behandelingen niet mogelijk waren en waarom


Beschrijf welke behandelingen er al dan niet worden verwacht


Prognose
Beschrijf de prognose van de aandoening *


Extra informatie
Gaat het bij deze stoornis over een niet-aangeboren hersenletsel? *
Extra informatie
";;;;;;;;;;;;;;;;;;;;;;
Categorie infectueuze en parasitaire aandoeningen;Herpes, anogenitaal;A60 ;"Stoornis A60 - Herpes, anogenitaal wijzigen
Voor meer informatie en richtlijnen bij het invullen van deze stoornispagina kan u terecht op onze website(website opent in een nieuw tabblad).

Diagnosestelling
Datum diagnosestelling *

open datum diagnosestelling datepicker
Voeg de disciplines en namen toe van de personen die de diagnose gesteld hebben.


Discipline toevoegen
Discipline	Naam	Acties
Geen disciplines gevonden
Aantal items per pagina
10
1 - 0 van 0
Indien van toepassing: Waarom werd de diagnose niet multidisciplinair vastgesteld?


Diagnostische gegevens en/of andere onderzoeksgegevens
Beschrijf de aandoening en de etiologie ervan *


Beschrijf de onderzoeken die plaatsgevonden hebben, met vermelding van de datum of periode van het onderzoek en hun resultaten


Onderzoek toevoegen
Datum of periode van het onderzoek	Naam	Discipline	Type onderzoek	Resultaat onderzoek	Acties
Geen onderzoeken gevonden
Aantal items per pagina
10
1 - 0 van 0
Beperkingen & participatieproblemen
Wat zijn de beperkingen en participatieproblemen ten gevolge van deze stoornis? *


Behandelingen
Beschrijf welke behandelingen al geweest of nog lopende zijn. Geef telkens de concrete datum/periode weer *


Beschrijf welke behandelingen niet mogelijk waren en waarom


Beschrijf welke behandelingen er al dan niet worden verwacht


Prognose
Beschrijf de prognose van de aandoening *


Extra informatie
Gaat het bij deze stoornis over een niet-aangeboren hersenletsel? *
Extra informatie
";;;;;;;;;;;;;;;;;;;;;;
